"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level D Legal (Lon)","54760","65050","Senior Policy Advisor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level E Legal (Lon)","69680","79410","Liaison Magistrate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level E Legal (Lon)","69680","79410","Unit Head","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Specialist Prosecutor (Lon)","61360","71300","Specialist Prosecutor","19.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Specialist Prosecutor (Lon)","61360","71300","Unit Head","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Specialist Prosecutor (Nat)","56890","66990","Specialist Prosecutor","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","B1 Solicitor Apprentice (Nat)","25480","28430","Trainee Solicitor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Legal Manager 1 (London)","63960","71310","Legal Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Legal Manager 2 (London)","70890","79430","Unit Head","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Legal Manager 2 (National)","67320","77300","Unit Head","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level A2 (Lon)","20120","23520","Casework Assistant","4.44","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level A2 (Nat)","18736","21950","Casework Assistant","2.80","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level A2 Apprentice (Lon)","20120","23520","Casework Assistant","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B1 (Lon)","26970","30110","Casework Administration Manager","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B1 (Lon)","26970","30110","Paralegal Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B1 (Lon)","26970","30110","Senior Personal Assistant","1.67","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B1 (Nat)","25480","28430","Casework Administration Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B1 (Nat)","25480","28430","Paralegal Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B1 (Nat)","25480","28430","Senior Personal Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B1 Paralegal Off (Lon)","26970","30110","Paralegal Officer","14.20","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B1 Paralegal Off (Nat)","25480","28430","Paralegal Officer","8.43","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B2 (Lon)","31560","35020","Private Secretary","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B2 Paralegal BM (Lon)","31560","35020","Paralegal Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B2 Paralegal BM (Nat)","30130","33310","Paralegal Business Manager","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B3 (Lon)","39750","45530","Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B3 (Nat)","38180","43390","Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level D Legal (Lon)","54760","65050","Senior Policy Advisor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level E Admin (Lon)","69680","79410","Area Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level E Legal (Lon)","69680","79410","Unit Head","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Paralegal Assistant (Lon)","20999","24590","Paralegal Assistant","13.20","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Paralegal Assistant (Nat)","20251","23470","Paralegal Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Principal Crown Advocate (CCD)","99790","120760","Principal Crown Advocate","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","RCPO - Executive Officer","24304","35828","Paralegal Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Senior Crown Prosecutor (Lon)","50519","62590","Legal Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Senior Crown Prosecutor (Lon)","50519","62590","Senior Crown Prosecutor","18.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","5.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Senior Specialist Prosecutor L","69680","79410","Senior Specialist Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Specialist Prosecutor (Lon)","61360","71300","Specialist Prosecutor","26.17","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Specialist Prosecutor (Nat)","56890","66990","Specialist Prosecutor","18.16","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","B1 Solicitor Apprentice (Nat)","25480","28430","Caseworker","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Legal Manager 1 (London)","63960","71310","District Crown Prosecutor","5.89","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Legal Manager 1 (National)","58040","66990","District Crown Prosecutor","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Legal Manager 2 (London)","70890","79430","Unit Head","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Legal Manager 2 (National)","67320","77300","Unit Head","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level A1 (Lon)","20180","20180","Administrative Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level A2 (Lon)","20120","23520","Administrative Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level A2 (Lon)","20120","23520","Casework Assistant","5.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level A2 (Nat)","18736","21950","Casework Assistant","8.65","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level A2 Apprentice (Lon)","20120","23520","Administrative Officer","5.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level A2 Apprentice (Lon)","20120","23520","Casework Assistant","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level A2 Apprentice (Nat)","16767","18900","Casework Assistant","7.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B1 (Lon)","26970","30110","Business Support Manager","0.89","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B1 (Lon)","26970","30110","Case Progression Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B1 (Lon)","26970","30110","Casework Administration Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B1 (Lon)","26970","30110","Caseworker","8.52","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B1 (Lon)","26970","30110","Fees Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B1 (Lon)","26970","30110","Senior Personal Assistant","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B1 (Nat)","25480","28430","Casework Administration Manager","3.80","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B1 (Nat)","25480","28430","Caseworker","11.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B1 Paralegal Off (Nat)","25480","28430","Caseworker","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B1 Paralegal Off (Nat)","25480","28430","Paralegal Officer","4.19","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B2 (Lon)","31560","35020","Examiner","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B2 (Lon)","31560","35020","Paralegal Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B2 Paralegal BM (Lon)","31560","35020","Paralegal Business Manager","1.70","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B2 Paralegal BM (Nat)","30130","33310","Paralegal Business Manager","5.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B3 (Lon)","39750","45530","Operational Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level B3 (Nat)","38180","43390","Operational Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level D Admin (Lon)","54760","65050","Senior Policy Advisor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Level E Admin (Lon)","69680","79410","Area Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Paralegal Assistant (Lon)","20999","24590","Paralegal Assistant","3.50","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Senior Crown Prosecutor (Lon)","50519","62590","Senior Crown Prosecutor","16.39","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","16.35","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Specialist Prosecutor (Lon)","61360","71300","Specialist Prosecutor","23.25","Law"
"Crown Prosecution Service","Crown Prosecution Service","PROCEEDS OF CRIME","CPS-G-022","Specialist Prosecutor (Nat)","56890","66990","Specialist Prosecutor","14.84","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","B1 Solicitor Apprentice (Lon)","26970","30110","Trainee Solicitor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Legal Manager 2 (London)","70890","79430","Unit Head","8.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level A2 (Lon)","20120","23520","Casework Assistant","6.61","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level A2 (Nat)","18736","21950","Casework Assistant","2.27","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level A2 Apprentice (Lon)","20120","23520","Casework Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level B1 (Lon)","26970","30110","Casework Administration Manager","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level B1 (Lon)","26970","30110","Complaints Co-ordinator","0.83","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level B1 (Lon)","26970","30110","Paralegal Officer","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level B1 (Lon)","26970","30110","Senior Personal Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level B1 Paralegal Off (Lon)","26970","30110","Paralegal Officer","22.71","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level B1 Paralegal Off (Nat)","25480","28430","Paralegal Officer","6.88","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level B2 (Lon)","31560","35020","Change Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level B2 (Lon)","31560","35020","Paralegal Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level B2 (Nat)","30130","33310","Paralegal Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level B2 Paralegal BM (Lon)","31560","35020","Paralegal Business Manager","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level B2 Paralegal BM (Nat)","30130","33310","Paralegal Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level B3 (Lon)","39750","45530","Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level B3 (Nat)","38180","43390","Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level D Admin (Lon)","54760","65050","Senior Policy Advisor","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level E Admin (Lon)","69680","79410","Area Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Level E Legal (Lon)","69680","79410","Unit Head","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Paralegal Assistant (Lon)","20999","24590","Paralegal Assistant","3.83","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Senior Crown Advocate (Lon)","69300","74660","Senior Crown Advocate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SCD AND CTD","CPS-G-021","Senior Specialist Prosecutor L","69680","79410","Senior Specialist Prosecutor","4.80","Law"
